trade_id,trade_date,trade_time,Client_Type,Client_ID,stockSymbol,securityType,trade_action,quantity,price,brokerID
1199,16-09-2020,15:06:07,FIRM,50,WMT,EQUITY,BUY,1800,141.80,5
1198,16-09-2020,15:06:06,FIRM,50,WMT,EQUITY,BUY,1800,141.80,5
1197,16-09-2020,15:06:05,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1196,16-09-2020,15:06:04,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1195,16-09-2020,15:06:03,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1194,16-09-2020,15:06:02,FIRM,50,WMT,EQUITY,BUY,1800,141.80,5
1193,16-09-2020,15:06:01,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1192,16-09-2020,15:06:00,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1191,16-09-2020,15:05:59,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1190,16-09-2020,15:05:58,FIRM,50,WMT,EQUITY,SELL,1800,141.80,5
1189,16-09-2020,15:05:57,FIRM,50,AAPL,EQUITY,SELL,300,114.37,2
1188,16-09-2020,15:05:56,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1187,16-09-2020,15:05:54,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1186,16-09-2020,15:05:53,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1185,16-09-2020,15:05:52,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1184,16-09-2020,15:05:51,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1183,16-09-2020,15:05:50,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1182,16-09-2020,15:05:49,FIRM,50,AAPL,EQUITY,SELL,300,114.37,2
1181,16-09-2020,15:05:48,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1180,16-09-2020,15:05:47,FIRM,50,AAPL,EQUITY,BUY,300,114.37,2
1179,16-09-2020,15:05:46,FIRM,50,WMT,EQUITY,BUY,2450,141.29,2
1178,16-09-2020,15:05:45,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1177,16-09-2020,15:05:44,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1176,16-09-2020,15:05:43,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1175,16-09-2020,15:05:42,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1174,16-09-2020,15:05:41,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1173,16-09-2020,15:05:40,FIRM,50,WMT,EQUITY,BUY,2450,141.29,2
1172,16-09-2020,15:05:39,FIRM,50,WMT,EQUITY,BUY,2450,141.29,2
1171,16-09-2020,15:05:38,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1170,16-09-2020,15:05:37,FIRM,50,WMT,EQUITY,SELL,2450,141.29,2
1169,16-09-2020,15:05:36,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1168,16-09-2020,15:05:35,FIRM,50,AAPL,EQUITY,BUY,1700,113.61,4
1167,16-09-2020,15:05:34,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1166,16-09-2020,15:05:33,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1165,16-09-2020,15:05:32,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1164,16-09-2020,15:05:31,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1163,16-09-2020,15:05:30,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1162,16-09-2020,15:05:29,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1161,16-09-2020,15:05:28,FIRM,50,AAPL,EQUITY,SELL,1700,113.61,4
1160,16-09-2020,15:05:27,FIRM,50,AAPL,EQUITY,BUY,1700,113.61,4
1159,16-09-2020,15:05:26,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1158,16-09-2020,15:05:25,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1157,16-09-2020,15:05:24,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1156,16-09-2020,15:05:23,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1155,16-09-2020,15:05:22,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1154,16-09-2020,15:05:21,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1153,16-09-2020,15:05:20,FIRM,50,WMT,EQUITY,SELL,4650,138.74,4
1152,16-09-2020,15:05:19,FIRM,50,WMT,EQUITY,SELL,4650,138.74,4
1151,16-09-2020,15:05:18,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1150,16-09-2020,15:05:16,FIRM,50,WMT,EQUITY,BUY,4650,138.74,4
1149,16-09-2020,15:05:15,FIRM,50,WMT,EQUITY,SELL,1550,141.81,1
1148,16-09-2020,15:05:14,FIRM,50,WMT,EQUITY,SELL,1550,141.81,1
1147,16-09-2020,15:05:13,FIRM,50,WMT,EQUITY,BUY,1550,141.81,1
1146,16-09-2020,15:05:12,FIRM,50,WMT,EQUITY,SELL,1550,141.81,1
1145,16-09-2020,15:05:11,FIRM,50,WMT,EQUITY,BUY,1550,141.81,1
